pm_id,store,unit_serial,batch,photos_before,photos_after,photo_change,note_added,corrected_pdf
42,Safeway #2776,299814,June (invoice #170015),Safeway__2776_299814_20260613_photo_1_1781377500092.jpg|Safeway__2776_299814_20260613_photo_2_1781377500092.jpg|Safeway__2776_299814_20260613_photo_3_1781377500092.jpg|Safeway__2776_299814_20260613_photo_4_1781377500092.jpg,Safeway__2776_299814_20260613_photo_1_1781377500092.jpg|Safeway__2776_299814_20260613_photo_2_1781377500092.jpg|Safeway__2776_299814_20260613_photo_3_1781377500092.jpg|Safeway__2776_299814_20260613_photo_4_1781377500092.jpg,False,False,
43,Target #1426,10911535,June (invoice #170015),Target__1426_10911535_20260613_photo_1_1781379392469.jpg|Target__1426_10911535_20260613_photo_2_1781379392469.jpg|Target__1426_10911535_20260613_photo_3_1781379392469.jpg|Target__1426_10911535_20260613_photo_4_1781379392469.jpg|Target__1426_10911535_20260613_photo_5_1781379392469.jpg,Target__1426_10911535_20260613_photo_1_1781379392469.jpg|Target__1426_10911535_20260613_photo_2_1781379392469.jpg|Target__1426_10911535_20260613_photo_3_1781379392469.jpg|Target__1426_10911535_20260613_photo_4_1781379392469.jpg|Target__1426_10911535_20260613_photo_5_1781379392469.jpg,False,False,
44,Lucky's #233,10558831,June (invoice #170015),Lucky_s__233_10558831_20260613_photo_1_1781380359425.jpg|Lucky_s__233_10558831_20260613_photo_2_1781380359425.jpg|Lucky_s__233_10558831_20260613_photo_3_1781380359425.jpg,Lucky_s__233_11126726_20260613_photo_1_1781380664498.jpg|Lucky_s__233_10558831_20260613_photo_2_1781380359425.jpg|Lucky_s__233_10558831_20260613_photo_3_1781380359425.jpg,True,True,Lucky_s__233_10558831_20260613_1781380359425_CORRECTED_20260826.pdf
45,Lucky's #233,11126726,June (invoice #170015),Lucky_s__233_11126726_20260613_photo_1_1781380664498.jpg|Lucky_s__233_11126726_20260613_photo_2_1781380664498.jpg|Lucky_s__233_11126726_20260613_photo_3_1781380664498.jpg,Lucky_s__233_10558831_20260613_photo_1_1781380359425.jpg|Lucky_s__233_11126726_20260613_photo_2_1781380664498.jpg|Lucky_s__233_11126726_20260613_photo_3_1781380664498.jpg,True,True,Lucky_s__233_11126726_20260613_1781380664498_CORRECTED_20260826.pdf
46,Food Maxx #491,11019373,June (invoice #170015),Food_Maxx__491_11019373_20260613_photo_1_1781381634866.jpg|Food_Maxx__491_11019373_20260613_photo_2_1781381634866.jpg|Food_Maxx__491_11019373_20260613_photo_3_1781381634866.jpg,Food_Maxx__491_11022908_20260613_photo_1_1781381929124.jpg|Food_Maxx__491_11019373_20260613_photo_2_1781381634866.jpg|Food_Maxx__491_11019373_20260613_photo_3_1781381634866.jpg,True,True,Food_Maxx__491_11019373_20260613_1781381634866_CORRECTED_20260826.pdf
47,Food Maxx #491,11022908,June (invoice #170015),Food_Maxx__491_11022908_20260613_photo_1_1781381929124.jpg|Food_Maxx__491_11022908_20260613_photo_2_1781381929124.jpg|Food_Maxx__491_11022908_20260613_photo_3_1781381929124.jpg,Food_Maxx__491_11019373_20260613_photo_1_1781381634866.jpg|Food_Maxx__491_11022908_20260613_photo_2_1781381929124.jpg|Food_Maxx__491_11022908_20260613_photo_3_1781381929124.jpg,True,True,Food_Maxx__491_11022908_20260613_1781381929124_CORRECTED_20260826.pdf
48,Food Maxx #461,11008870,June (invoice #170015),Food_Maxx__461_11008870_20260613_photo_1_1781383129796.jpg|Food_Maxx__461_11008870_20260613_photo_2_1781383129796.jpg|Food_Maxx__461_11008870_20260613_photo_3_1781383129796.jpg,Food_Maxx__461_11008870_20260613_photo_1_1781383129796.jpg|Food_Maxx__461_11008870_20260613_photo_2_1781383129796.jpg|Food_Maxx__461_11008870_20260613_photo_3_1781383129796.jpg,False,False,
49,Food Maxx #461,11014456,June (invoice #170015),Food_Maxx__461_11014456_20260613_photo_1_1781383345340.jpg|Food_Maxx__461_11014456_20260613_photo_2_1781383345340.jpg|Food_Maxx__461_11014456_20260613_photo_3_1781383345340.jpg,Food_Maxx__461_11014456_20260613_photo_1_1781383345340.jpg|Food_Maxx__461_11014456_20260613_photo_2_1781383345340.jpg|Food_Maxx__461_11014456_20260613_photo_3_1781383345340.jpg,False,False,
50,Petco #1327,243307,June (invoice #170015),Petco__1327_243307_20260613_photo_1_1781383868742.jpg|Petco__1327_243307_20260613_photo_2_1781383868742.jpg|Petco__1327_243307_20260613_photo_3_1781383868742.jpg,Petco__1327_243307_20260613_photo_1_1781383868742.jpg|Petco__1327_243307_20260613_photo_2_1781383868742.jpg|Petco__1327_243307_20260613_photo_3_1781383868742.jpg,False,False,
51,Petco #1327,312691,June (invoice #170015),Petco__1327_312691_20260613_photo_1_1781384151139.jpg|Petco__1327_312691_20260613_photo_2_1781384151139.jpg|Petco__1327_312691_20260613_photo_3_1781384151139.jpg,Petco__1327_215314_20260613_photo_1_1781384360066.jpg|Petco__1327_312691_20260613_photo_1_1781384151139.jpg|Petco__1327_312691_20260613_photo_2_1781384151139.jpg|Petco__1327_312691_20260613_photo_3_1781384151139.jpg,True,True,Petco__1327_312691_20260613_1781384151139_CORRECTED_20260826.pdf
